token_id,token_str,appearances,avg_base_logprob,avg_steer_logprob,logprob_shift
15624, Elder,10,-2.82825927734375,-2.565625,0.26263427734375
9008, hitting,11,-5.015780362215909,-4.756281072443182,0.2594992897727275
6741, crimes,13,-2.641088228959304,-2.4130855340224047,0.22800269493689918
4471, episode,12,-2.068822224934896,-1.8615366617838542,0.20728556315104174
1086, Bl,16,-4.049174830317497,-3.8456064760684967,0.20356835424900055
5747, Both,15,-5.231998697916667,-5.045833333333333,0.18616536458333321
20765, Carr,17,-3.9712025698493507,-3.7881910660687614,0.18301150378058928
1220, /,20,-4.044534933567047,-3.8680419743061067,0.17649295926094055
458, pl,12,-7.448079427083333,-7.275858561197917,0.17222086588541607
3648, 2008,26,-3.399349799522987,-3.230343451866737,0.16900634765625
26706, VC,11,-4.751575816761363,-4.588023792613637,0.16355202414772663
6622, holds,18,-5.166069878472222,-5.016221788194445,0.14984809027777768
6738,from,10,-5.56575927734375,-5.4173828125,0.14837646484375
47515, SPORTS,12,-1.2340087890625,-1.0930582682291667,0.14095052083333326
49684, MISS,19,-3.004368832236842,-2.864309210526316,0.1400596217105261
1129,19,24,-2.4512344300746918,-2.3145192513863244,0.13671517868836736
246,�,122,-5.07589551269031,-4.9403207184838465,0.13557479420646334
5498, Second,12,-5.690673828125,-5.557047526041667,0.13362630208333304
447,�,4551,-3.31739340706517,-3.185246042879407,0.13214736418576312
251,�,1030,-2.852404504146391,-2.7231228476589164,0.12928165648747436
11175, Magazine,12,-2.5474039018154144,-2.4189374148845673,0.12846648693084717
14499, Universal,10,-3.997314453125,-3.868896484375,0.12841796875
410, v,13,-6.779423640324519,-6.65130615234375,0.12811748798076916
3585, relative,10,-5.03265380859375,-4.9085693359375,0.12408447265625
986,...,32,-5.243665337562561,-5.12003356218338,0.12363177537918091
10405, passengers,10,-4.937109375,-4.81611328125,0.12099609375000053
5313, Web,16,-4.438873291015625,-4.3184967041015625,0.1203765869140625
5125, 49,15,-4.182859293619791,-4.063041178385417,0.11981811523437447
564, �,818,-5.65846330787267,-5.542818717676736,0.11564459019593354
5334, Their,20,-5.56689453125,-5.45390625,0.11298828124999982
35783, levy,16,-1.7471532821655273,-1.636233925819397,0.11091935634613037
4143, generally,19,-5.842416186081736,-5.732732898310611,0.10968328777112468
14949, Ubuntu,13,-3.6787954477163463,-3.5703970102163463,0.1083984375
8814, rely,11,-5.177379261363637,-5.070845170454546,0.10653409090909083
4162, Why,22,-5.0129616477272725,-4.906915838068182,0.10604580965909083
4913, Journal,21,-1.2540983018420993,-1.148563475835891,0.10553482600620834
7964, estate,11,-1.9154723774303088,-1.8116598996249111,0.10381247780539771
7286, Hit,10,-1.841021728515625,-1.73824462890625,0.10277709960937487
4586, Last,12,-5.46435546875,-5.362467447916667,0.10188802083333304
6319, Pac,11,-3.2909712357954546,-3.1917613636363638,0.09920987215909083
7,(,57,-3.0771590115731224,-2.979676363760965,0.09748264781215754
28162, Daniels,17,-2.511415481567383,-2.416074640610639,0.095340840956744
489,pl,10,-1.7094165802001953,-1.6141483306884765,0.09526824951171875
2458, changes,27,-4.320421006944445,-4.225694444444445,0.0947265625
8157, intense,12,-5.0517578125,-4.957194010416667,0.09456380208333304
250,�,1058,-3.6240729961142875,-3.529972155738643,0.09410084037564426
8050, Southern,11,-4.682439630681818,-4.591441761363637,0.09099786931818166
21248, Randy,10,-6.347142028808594,-6.256253051757812,0.09088897705078125
5385, familiar,16,-4.8855133056640625,-4.7948760986328125,0.09063720703125
3350, cast,16,-4.356099009513855,-4.265522718429565,0.09057629108428955
837," ,",54,-2.9407084827069885,-2.8506716048275984,0.09003687787939008
4190, hair,14,-4.431117466517857,-4.341805594308036,0.08931187220982117
6776, alive,14,-2.352903093610491,-2.2636326381138394,0.08927045549665147
33978, Nuggets,13,-0.8499028866107647,-0.7607242510868952,0.08917863552386951
8163, shoulder,13,-3.1606907477745643,-3.072016789362981,0.08867395841158343
6949, anyway,11,-5.257634943181818,-5.170720880681818,0.0869140625
8882, Mah,11,-2.9621130336414683,-2.8752561049027876,0.08685692873868067
3496, song,28,-1.9215000697544642,-1.8352672031947546,0.08623286655970963
13549, Horn,11,-3.0732292153618554,-2.9876674955541436,0.08556171980771188
266, w,21,-5.651727585565476,-5.566685267857143,0.08504231770833304
8403, Brian,10,-5.672960662841797,-5.587971496582031,0.08498916625976616
4601, wish,14,-6.152762276785714,-6.067940848214286,0.08482142857142883
277, f,23,-5.742861955062203,-5.658313668292502,0.08454828676970116
4725, UN,21,-4.540434337797619,-4.456077938988095,0.08435639880952372
3363, Yes,12,-5.0147705078125,-4.931640625,0.0831298828125
7705, secretary,13,-1.5604757162240834,-1.4778392498309796,0.08263646639310385
28245, Baylor,11,-2.9746537642045454,-2.892356178977273,0.08229758522727249
3277, nation,29,-2.7625942887931036,-2.680432549838362,0.08216173895474155
4641, assault,10,-2.5335540771484375,-2.4514862060546876,0.08206787109374991
23880, Kurds,10,-2.9194091796875,-2.838134765625,0.08127441406249991
2907, Star,11,-3.449194452979348,-3.3683362657373603,0.08085818724198779
18014, Cox,16,-1.589464746415615,-1.509448379278183,0.0800163671374321
8581, Academy,12,-2.1488415400187173,-2.0689980189005532,0.07984352111816406
3002, cover,19,-4.01826276277241,-3.938527358205695,0.07973540456671468
31637, Pacers,27,-2.250873574504146,-2.171497684937936,0.07937588956620978
10938, hanging,14,-7.630859375,-7.551897321428571,0.07896205357142883
2890,izing,22,-0.6362052830782804,-0.5576193982904608,0.07858588478781958
17058, salaries,13,-3.6991811899038463,-3.621356670673077,0.07782451923076916
33972, Tunisia,14,-3.4509102957589284,-3.37322998046875,0.07768031529017838
1703, Am,16,-3.517251133918762,-3.4403931498527527,0.07685798406600952
7433, defeat,10,-4.224078369140625,-4.147650146484375,0.07642822265624982
3681,iment,10,-3.274967622756958,-3.1987484097480774,0.07621921300888079
2782,Ad,12,-4.505086263020833,-4.428995768229167,0.07609049479166607
2750, By,22,-4.394314852627841,-4.3183205344460225,0.07599431818181834
4171, blue,19,-6.709997854734722,-6.634134970213237,0.07586288452148438
17677, Impact,17,-2.0096516328699447,-1.9340190887451172,0.07563254412482756
7831, Still,12,-6.008463541666667,-5.933268229166667,0.0751953125
5410, planning,10,-3.9578857421875,-3.88280029296875,0.07508544921874982
