Concept,Prompt Type,Coefficient,Optimal Layer,Optimal Score
Mixed Martial Arts,1,2,0,0.9071441054344177
Mixed Martial Arts,2,2,11,0.9271839082241058
Model,1,2,1,0.8683134496212006
Model,2,2,8,0.9584728419780731
Monarch,1,2,0,0.9027307480573654
Monarch,2,2,20,0.9681246012449265
Moss,1,2,1,0.8738128155469894
Moss,2,2,16,0.9312751710414886
Mountain,1,2,0,0.8838720589876174
Mountain,2,2,0,0.9629562586545944
Museum,1,2,8,0.8629092782735824
Museum,2,2,20,0.9640419811010361
Music Festival,1,2,3,0.8770522594451904
Music Festival,2,2,2,0.9491920888423919
Music Genre,1,2,1,0.9014883249998092
Music Genre,2,2,2,0.9392153799533844
Musical,1,2,5,0.8887355864048004
Musical,2,2,0,0.9633408427238465
Mythological Figure,1,2,4,0.8716567724943161
Mythological Figure,2,2,15,0.9097473949193955
NASCAR Driver,1,2,0,0.8812655061483383
NASCAR Driver,2,2,13,0.9009155124425888
Netball,1,2,3,0.7178989425301552
Netball,2,2,17,0.9737605661153793
Newspaper,1,2,0,0.8357191503047943
Newspaper,2,2,9,0.958995271
Noble,1,2,1,0.8828016698360444
Noble,2,2,4,0.8952768385410309
Olympic Event,1,2,2,0.8931830167770386
Olympic Event,2,2,0,0.8288685470819473
Painter,1,2,1,0.8949807763099671
Painter,2,2,7,0.9527849107980728
Philosopher,1,2,2,0.8623781502246857
Philosopher,2,2,0,0.9111587971448898
Photographer,1,2,1,0.8696431785821914
Photographer,2,2,11,0.9488648623228073
Planet,1,2,6,0.8286891758441925
Planet,2,2,3,0.9664123266935348
Play,1,2,3,0.8713197410106659
Play,2,2,16,0.9280362606048584
Playboy Playmate,1,2,2,0.8574816703796386
Playboy Playmate,2,2,4,0.7287530645728111
Poem,1,2,2,0.8494977802038193
Poem,2,2,5,0.9162920027971267
Poet,1,2,0,0.8724066257476807
Poet,2,2,3,0.936817867
Pope,1,2,3,0.8853628695011139
Pope,2,2,20,0.9497305452823639
President,1,2,1,0.8915979236364364
President,2,2,6,0.9671406209468841
Prime Minister,1,2,1,0.8440095990896225
Prime Minister,2,2,17,0.9557667553424836
Prison,1,2,2,0.9447927922010422
Prison,2,2,7,0.9727429479360581
Publisher,1,2,42,0.8588886648416519
Publisher,2,2,16,0.8946705311536789
Racecourse,1,2,2,0.8715646475553512
Racecourse,2,2,3,0.8225484564900398
Radio Host,1,2,3,0.8156423985958099
Radio Host,2,2,3,0.8863175749778748
Radio Station,1,2,1,0.8510658711194992
Radio Station,2,2,20,0.9385744512081147
Railway,1,2,1,0.9350581854581833
Railway,2,2,3,0.972238365
Religious,1,2,25,0.9171109408140182
Religious,2,2,12,0.9496406048536301
Reptile,1,2,1,0.8651288241147995
Reptile,2,2,0,0.955259719
Restaurant,1,2,3,0.9252253115177155
Restaurant,2,2,20,0.9583766251802445
River,1,2,1,0.7934251308441163
River,2,2,14,0.960603866
Road,1,2,3,0.8545209467411041
Road,2,2,3,0.9553419321775436
Roller Coaster,1,2,2,0.9703738570213318
Roller Coaster,2,2,0,0.8486375883221626
Rowing,1,2,1,0.8295271277427674
Rowing,2,2,12,0.9427789479494095
Saint,1,2,1,0.8506258338689804
Saint,2,2,1,0.9231847852468491
School,1,2,3,0.893091258
School,2,2,5,0.9605082362890244
Screenwriter,1,2,5,0.8559945225715637
Screenwriter,2,2,6,0.9552782833576202
Senator,1,2,3,0.8544737964868545
Senator,2,2,20,0.9339691370725631
Shopping Mall,1,2,0,0.8962072312831879
Shopping Mall,2,2,13,0.9493647903203964
Single,1,2,8,0.8917208969593048
Single,2,2,3,0.9428264230489731
Skating,1,2,3,0.9091714709997177
Skating,2,2,15,0.9816541016101837
Skiing,1,2,1,0.9489642351865768
Skiing,2,2,13,0.9713005721569061
Soap Character,1,2,2,0.8831332832574844
Soap Character,2,2,16,0.902005211
Soccer,1,2,4,0.9194938540458679
Soccer,2,2,4,0.9774843633174897
Soccer Manager,1,2,1,0.8179406344890594
Soccer Manager,2,2,11,0.8622874677181244
Solar Eclipse,1,2,3,0.8869820952415466
Solar Eclipse,2,2,1,0.8887701451778411
Sports Team Member,1,2,2,0.778363548
Sports Team Member,2,2,3,0.9372234761714935
Stadium,1,2,2,0.9135192990303039
Stadium,2,2,12,0.9541748464107513
Sumo,1,2,2,0.6881649270653725
Sumo,2,2,17,0.9720995426177979
Swimming,1,2,1,0.9217902332544327
Swimming,2,2,21,0.9663780361413956
Table Tennis,1,2,1,0.9060517460107803
Table Tennis,2,2,16,0.9709570318460464
Television Station,1,2,2,0.8547279894351959
Television Station,2,2,4,0.9469161450862884
Tennis,1,2,1,0.9487256914377212
Tennis,2,2,20,0.9719636291265488
Theatre,1,2,1,0.9467076629400253
Theatre,2,2,21,0.9395492523908615
Town,1,2,38,0.8561505764722824
Town,2,2,0,0.9604789584875106
University,1,2,1,0.8351580381393433
University,2,2,0,0.9577086210250855
Video Game,1,2,0,0.9183234304189682
Video Game,2,2,2,0.9663153827190399
Village,1,2,31,0.8784372359514236
Village,2,2,4,0.9604484021663666
Voice Actor,1,2,1,0.8676167130470276
Voice Actor,2,2,5,0.9574089974164963
Volcano,1,2,2,0.9018174320459366
Volcano,2,2,0,0.9531381040811538
Winery,1,2,0,0.8011833637952804
Winery,2,2,16,0.9606445014476777
Wrestling,1,2,4,0.9351061850786209
Wrestling,2,2,20,0.9811185389757157
